1 2 3
2 4 5
2 5 3
6 7 8
7 9 10
9 11 12
11 13 14
6 3 5
13 15 16
8 7 10
15 17 18
10 9 12
1 3 19
17 20 21
12 11 14
20 22 23
14 13 16
6 8 3
22 24 25
16 15 18
8 10 26
24 27 28
18 17 21
10 12 29
1 19 30
27 31 32
21 20 23
3 8 26
12 14 33
31 34 35
23 22 25
14 16 36
34 37 38
25 24 28
26 10 29
16 18 39
37 40 41
28 27 32
29 12 33
18 21 42
40 43 44
32 31 35
3 26 19
33 14 36
21 23 45
43 46 47
35 34 38
36 16 39
23 25 48
46 49 50
38 37 41
26 29 51
39 18 42
25 28 52
49 53 54
41 40 44
29 33 55
42 21 45
28 32 56
53 57 58
44 43 47
33 36 59
45 23 48
19 26 60
32 35 61
57 62 63
57 64 58
47 46 50
36 39 65
48 25 52
35 38 66
26 51 60
50 49 54
51 29 55
39 42 67
52 28 56
38 41 68
54 53 58
69 70 71
70 72 73
70 73 71
55 33 59
42 45 74
56 32 61
41 44 75
63 76 64
77 78 79
59 36 65
45 48 80
61 35 66
44 47 81
57 63 64
30 19 82
78 83 84
19 60 82
65 39 67
48 52 85
66 38 68
47 50 86
83 87 88
51 55 89
67 42 74
52 56 90
68 41 75
50 54 91
60 51 89
87 92 93
55 59 94
74 45 80
56 61 95
75 44 81
54 58 96
77 71 73
92 97 98
59 65 99
79 78 84
80 48 85
61 66 100
64 76 101
81 47 86
97 102 103
30 82 104
84 83 88
65 67 105
85 52 90
58 64 96
66 68 106
86 50 91
82 60 107
76 108 101
69 71 109
102 110 111
89 55 94
88 87 93
67 74 112
90 56 95
68 75 113
91 54 96
60 89 107
110 114 115
94 59 99
93 92 98
74 80 116
95 61 100
75 81 117
114 118 119
77 79 71
99 65 105
98 97 103
80 85 120
100 66 106
81 86 121
79 84 122
96 64 101
118 123 124
105 67 112
103 102 111
104 82 125
85 90 126
106 68 113
86 91 127
84 88 128
123 129 130
82 107 125
69 109 131
89 94 132
112 74 116
111 110 115
90 95 133
113 75 117
91 96 134
71 79 122
88 93 135
129 136 137
107 89 138
94 99 139
116 80 120
115 114 119
95 100 140
117 81 121
93 98 141
108 142 101
136 143 144
99 105 145
120 85 126
119 118 124
100 106 146
121 86 127
122 84 128
98 103 147
143 148 149
96 101 150
105 112 151
126 90 133
124 123 130
106 113 152
127 91 134
104 125 153
89 132 138
128 88 135
103 111 154
148 155 156
132 94 139
112 116 157
133 95 140
130 129 137
125 107 158
113 117 159
134 96 150
71 122 109
135 93 141
111 115 160
155 161 162
139 99 145
116 120 163
140 100 146
137 136 144
117 121 164
107 138 158
141 98 147
115 119 165
161 166 167
108 168 142
145 105 151
120 126 169
146 106 152
144 143 149
121 127 170
122 128 171
147 103 154
119 124 172
166 173 174
151 112 157
126 133 175
152 113 159
149 148 156
127 134 176
150 101 142
128 135 177
154 111 160
124 130 178
153 125 179
173 180 181
138 132 182
132 139 183
157 116 163
133 140 184
159 117 164
156 155 162
135 141 185
125 158 179
160 115 165
130 137 186
109 122 187
134 150 188
180 189 190
139 145 191
163 120 169
140 146 192
164 121 170
162 161 167
180 193 181
141 147 194
165 119 172
137 144 195
158 138 196
145 151 197
122 171 187
169 126 175
146 152 198
170 127 176
167 166 174
142 168 199
171 128 177
147 154 200
172 124 178
144 149 201
151 157 202
175 133 184
152 159 203
176 134 188
174 173 181
182 132 183
177 135 185
154 160 204
168 205 199
178 130 186
149 156 206
150 142 188
138 182 196
183 139 191
157 163 207
153 179 208
184 140 192
159 164 209
185 141 194
160 165 210
190 211 193
186 137 195
156 162 212
179 158 213
131 109 214
191 145 197
163 169 215
192 146 198
164 170 216
180 190 193
109 187 214
194 147 200
165 172 217
195 144 201
162 167 218
158 196 213
197 151 202
169 175 219
198 152 203
170 176 220
171 177 221
200 154 204
172 178 222
201 149 206
167 174 223
187 171 221
188 142 224
202 157 207
175 184 225
203 159 209
176 188 226
182 183 227
177 185 228
204 160 210
178 186 229
206 156 212
174 181 230
183 191 231
207 163 215
184 192 232
209 164 216
196 182 233
208 179 234
185 194 235
210 165 217
186 195 236
212 162 218
193 211 237
191 197 238
215 169 219
192 198 239
216 170 220
179 213 234
131 214 240
194 200 241
217 172 222
195 201 242
181 193 230
218 167 223
214 187 243
142 199 224
197 202 244
211 245 237
219 175 225
198 203 246
220 176 226
213 196 247
221 177 228
200 204 248
222 178 229
201 206 249
223 174 230
205 250 199
187 221 243
202 207 251
225 184 232
